number,value,datetime_start,datetime_complete,duration,params_alpha,params_aug_mult,params_batch_size,params_hidden_sizes,params_label_mode,params_lam_high,params_lam_low,params_lr,params_n_epochs,params_p_apply,system_attrs_fixed_params,state
0,,2025-09-27 09:45:55.140969,2025-09-27 09:45:55.161909,0 days 00:00:00.020940,,,,,,,,,,,"{'hidden_sizes': [512, 256, 256, 128], 'lr': 0.006430840367031076, 'batch_size': 768, 'n_epochs': 500, 'aug_mult': 0.0, 'alpha': 0.4, 'lam_low': 0.2, 'lam_high': 0.8, 'p_apply': 1.0, 'label_mode': 'hard'}",FAIL
1,0.8822595560944502,2025-09-27 09:51:53.746069,2025-09-27 10:17:06.924779,0 days 00:25:13.178710,0.4,1.0,768.0,"[512, 256, 256, 128]",hard,0.8,0.2,0.006430840367031076,500.0,1.0,"{'hidden_sizes': [512, 256, 256, 128], 'lr': 0.006430840367031076, 'batch_size': 768, 'n_epochs': 500, 'aug_mult': 1.0, 'alpha': 0.4, 'lam_low': 0.2, 'lam_high': 0.8, 'p_apply': 1.0, 'label_mode': 'hard'}",COMPLETE
2,0.8838839876542147,2025-09-27 10:17:07.321940,2025-09-27 10:41:10.260359,0 days 00:24:02.938419,0.4,0.0,768.0,"[512, 256, 256, 128]",hard,0.8,0.2,0.006430840367031076,500.0,1.0,"{'hidden_sizes': [512, 256, 256, 128], 'lr': 0.006430840367031076, 'batch_size': 768, 'n_epochs': 500, 'aug_mult': 0.0, 'alpha': 0.4, 'lam_low': 0.2, 'lam_high': 0.8, 'p_apply': 1.0, 'label_mode': 'hard'}",COMPLETE
3,0.8822595560944502,2025-09-27 10:41:10.659906,2025-09-27 11:06:37.759611,0 days 00:25:27.099705,0.4,1.0,768.0,"[512, 256, 256, 128]",hard,0.8,0.2,0.006430840367031076,500.0,1.0,"{'hidden_sizes': [512, 256, 256, 128], 'lr': 0.006430840367031076, 'batch_size': 768, 'n_epochs': 500, 'aug_mult': 1.0, 'alpha': 0.4, 'lam_low': 0.2, 'lam_high': 0.8, 'p_apply': 1.0, 'label_mode': 'hard'}",COMPLETE
4,0.839662955612729,2025-09-27 11:06:38.099786,2025-09-27 12:22:02.723870,0 days 01:15:24.624084,0.7754895003398505,0.0,256.0,"[512, 256, 256, 256]",hard,0.550837086490255,0.4965191426102927,0.0002619145419403033,400.0,0.5650974705473721,,COMPLETE
5,0.8778393643761175,2025-09-27 12:22:03.053405,2025-09-27 13:20:07.407417,0 days 00:58:04.354012,0.6064071483092334,2.0,512.0,"[512, 256, 256, 256]",hard,0.6912561500382848,0.21348731485203196,0.0014324242748524015,600.0,0.9724834134092228,,COMPLETE
6,0.8776241725460453,2025-09-27 13:20:07.737314,2025-09-27 14:22:21.427656,0 days 01:02:13.690342,0.4629604195483711,0.0,384.0,"[512, 256, 256, 256]",hard,0.6834460442236714,0.42690739436205616,0.0019843231965531592,600.0,0.9634425166451713,,COMPLETE
7,0.8775051031273177,2025-09-27 14:22:21.794733,2025-09-27 15:18:14.459558,0 days 00:55:52.664825,0.8449642834266025,2.0,384.0,"[768, 512, 256, 256]",hard,0.7823581173568709,0.3184210356349737,0.0035994451937124525,600.0,0.5872799980362322,,COMPLETE
8,0.8817728575113506,2025-09-27 15:18:14.798332,2025-09-27 15:32:06.005295,0 days 00:13:51.206963,0.2926717949871587,0.5,512.0,"[768, 512, 256, 256]",soft,0.7677315593592348,0.2622965225918653,0.009349063406286552,400.0,0.7902726156182098,,COMPLETE
9,0.8826151672610683,2025-09-27 15:32:06.361180,2025-09-27 16:01:51.661731,0 days 00:29:45.300551,0.5402169412992563,2.0,512.0,"[512, 256, 256, 128]",hard,0.6775542257352327,0.305515909266353,0.004940577999558426,400.0,0.5080726979328756,,COMPLETE
